Date,Aluminium [€/t] (Finanzen.net),Blei [€/t] (Finanzen.net),"Zink [€/t] (Finanzen,net)",Nickel [€/t] (Finanzen.net),Kupfer [€/t],Eisenerz [€/t] (Finanzen.net),Strom [€/MWh] (Finanzen.net),Arbeitskosten Deutschland [€/h] (Eurostat),Platinum [€/g] (Heraeus),Gold [€/g] (Heraeus),Silber [€/kg] (Heraeus),Palladium [€/g] (Heraeus),Rhodium [€/g] (Heraeus),Iridium [€/g] (Heraeus),Ruthenium [€/g] (Heraeus),Erdgas [€/MWh] (Finanzen.net),Stahl HRB [€/t] (SteelBenchmarker),ABS Granulat [€/kg] (Plasticker),PC Granulat [€/kg] (Plasticker),PBT Granulat [€/kg] (Plasticker),PA 6 Granulat [€/kg] (Plasticker),PA 6.6 Granulat [€/kg] (Plasticker),POM Granulat [€/kg] (Plasticker),PE-HD Granulat [€/kg] (Plasticker),PE-LD [€/kg] (Plasticker),PP [€/kg] (Plasticker),PS [€/kg] (Plasticker), Holz [€/t] (finanzen.net),Messing MS 58 1. V. Stufe [€/kg] (Westmetall),Molybdän [€/kg]
18.03.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.03.2018,"1.692,68","1.914,80","2.646,43","10.886,47",5528.35,58.24,34.13,,25.57,36.32,459.89,27.3,54.33,28.79,6.58,0.630589028,,,,,,,,,,,,,5.34,
20.03.2018,"1.695,18","1.920,55","2.615,03","10.966,40",5490.96,58.49,34.82,,25.53,36.24,455.76,26.76,54.79,28.75,6.57,0.642320917,,,,,,,,,,,,,5.33,
21.03.2018,"1.686,04","1.945,31","2.631,76","10.877,05",5477.42,57.97,35.66,,25.77,36.77,466.17,27.11,54.79,29.15,6.57,0.627656056,,,,,,,,,,,,,5.27,
22.03.2018,"1.684,05","1.918,39","2.597,49","10.669,16",5399.11,57.59,35.55,,25.69,36.74,462.23,26.78,54.65,29.08,6.55,0.624723083,,,,,,,,,,,,,5.29,
23.03.2018,"1.659,38","1.893,26","2.601,36","10.441,05",5355.47,56.86,35.65,,25.66,36.97,464.94,26.72,54.48,28.98,6.53,0.615924167,,,,,,,,,,,,,5.23,
24.03.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.03.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.03.2018,"1.648,39","1.919,11","2.623,81","10.365,51",5266.51,56.64,35.53,,25.52,37.05,464.56,26.61,54.7,29.1,6.53,0.615924167,,,,,,,,,,,,,5.13,
27.03.2018,"1.648,20","1.941,57","2.650,21","10.435,62",5324.61,56.70,35.95,,25.55,36.95,463.62,26.64,55.26,29.04,6.52,0.636454972,,,,,,,,,,,,,5.24,
28.03.2018,"1.646,56","1.972,71","2.681,45","10.625,89",5388.49,56.75,36.15,,25.21,36.88,462.41,26.44,56.22,29.18,6.66,,,,,,,,,,,,,,5.21,
29.03.2018,"1.629,48","1.946,51","2.669,59","10.755,19",5429.62,56.66,36.33,,25.35,36.67,457.47,26.47,56.4,29.27,6.68,0.651119833,,,,,,,,,,,,,5.3,
30.03.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.03.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.04.2018,,,,,,,,,26.33,37.13,493.75,30.69,48.54,28.19,5.96,,,,,,,,,,,,,,,
02.04.2018,,,,,,53.82,,,,,,,,,,0.639387944,,,,,,,,,,,,,,
03.04.2018,,"1.949,59","2.666,19","11.020,54",,52.44,36.53,,,,,,,,,0.645253889,,,,,,,,,,,,,5.34,
04.04.2018,"1.621,14","1.929,94","2.656,84","10.666,04",5447.83,51.25,36.26,,24.98,36.97,463.17,25.22,56.65,29.41,6.71,0.648186861,,,,,,,,,,,,,5.25,
05.04.2018,"1.641,41","1.943,09","2.647,17","10.843,99",5540.05,51.20,36.49,,25.03,37.34,475.06,27.14,57.66,33.88,7.9,0.642320917,,,,,,,,,,,,,5.33,
06.04.2018,"1.660,37","1.943,94","2.629,18","10.749,28",5471.81,51.50,36.62,,25.67,37.62,485.49,28.9,65.24,41.84,8.4,0.645253889,,,,,,,,,,,,,5.28,
07.04.2018,,,,,,,,,23.96,36.72,476.14,27.34,65.29,41.59,8.26,,,,,,,,,,,,,,,
08.04.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.04.2018,"1.735,99","1.935,24","2.601,96","10.867,18",5510.91,51.88,37.35,,22.28,35.14,421.57,28.4,70.05,42.78,8.65,0.639387944,,,,,,,,,,,,,5.3,
10.04.2018,"1.781,68","1.935,28","2.618,29","11.050,71",5592.14,52.85,37.55,,24.04,35.63,444.2,31.05,75.88,43.76,8.84,0.630589028,,,,,,,,,,,,,5.35,
11.04.2018,"1.819,28","1.945,83","2.611,28","11.174,85",5589.04,51.97,37.91,,,,,,,,,0.636454972,,,,,,,,,,,,,5.35,
12.04.2018,"1.886,18","1.890,24","2.503,95","11.090,74",5506.23,52.07,38.04,,23.56,37.16,444.52,36.6,76.71,44.54,8.94,0.639387944,,,,,,,,,,,,,5.23,
13.04.2018,"1.850,58","1.867,58","2.515,49","11.254,91",5504.35,52.33,38.57,,25.07,36.96,463.26,26.72,56.96,29.83,6.97,0.651119833,,,,,,,,,,,,,5.28,
14.04.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.04.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.2018,"1.937,57","1.918,59","2.523,72","11.555,14",5553.65,51.78,38.81,,25.01,37.04,466.6,27.3,57.42,29.72,7.09,0.651119833,,,,,,,,,,,,,5.25,
17.04.2018,"1.943,98","1.898,31","2.536,68","11.456,98",5519.14,51.95,37.92,,25.02,37,466.41,27.29,57.4,29.71,7.09,0.648186861,,,,,,,,,,,,,5.23,
18.04.2018,"2.049,69","1.917,79","2.624,52","12.299,74",5639.47,52.26,38.02,,25.41,37.13,478.22,28.11,57.38,30.1,7.07,0.648186861,,,,,,,,,,,,,5.34,
19.04.2018,"2.012,55","1.887,22","2.598,91","12.164,81",5621.79,53.04,38.71,,25.41,37.04,480.18,28.09,58.04,30.36,7.22,0.630589028,,,,,,,,,,,,,5.36,
20.04.2018,"2.005,28","1.914,11","2.618,88","12.000,41",5645.48,52.83,37.93,,25.2,37.18,482.23,28.24,58.57,30.63,7.28,0.654052806,,,,,,,,,,,,,5.39,
21.04.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.2018,"1.879,68","1.891,97","2.632,79","11.636,43",5650.11,53.39,38.06,,25.06,36.9,474.97,27.32,58.78,30.75,7.46,0.656985778,,,,,,,,,,,,,5.4,
24.04.2018,"1.820,41","1.882,13","2.611,27","11.381,04",5697.47,53.34,38.08,,25.1,37.02,472.81,26.82,58.29,30.91,7.46,0.665784694,,,,,,,,,,,,,5.46,
25.04.2018,"1.845,53","1.892,39","2.571,83","11.579,19",5729.58,53.62,38.11,,25.1,36.91,469.82,26.63,57.53,31,7.49,0.671650639,,,,,,,,,,,,,5.41,
26.04.2018,"1.879,16","1.926,44","2.590,76","11.713,54",5722.96,53.93,38.75,,25.02,37.03,471.52,27.47,57.53,31.28,7.49,0.683382528,,,,,,,,,,,,,5.36,
27.04.2018,"1.830,01","1.930,64","2.574,19","11.479,73",5563.91,53.73,38.81,,24.96,37.06,471.87,27.44,57.89,31.48,7.53,0.668717667,,,,,,,,,,,,,5.36,
28.04.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.2018,"1.866,95","1.921,60","2.587,66","11.253,88",5605.01,54.04,39.33,,24.97,37.13,470.33,27.03,57.76,31.82,7.66,0.671650639,,,,,,,,,,,,,5.37,
01.05.2018,"1.884,28","1.912,83","2.537,10","11.336,29",5592.17,54.60,,,26.57,37.24,493.75,30.69,48.54,28.19,5.96,0.683382528,,,,,,,,,,,,,,
02.05.2018,"1.941,78","1.898,08","2.535,86","11.656,14",5674.79,56.41,38.76,,26.59,36.53,469.15,27.93,51.2,27.26,6.19,0.674583611,,,,,,,,,,,,,5.37,
03.05.2018,"1.892,96","1.882,33","2.493,01","11.450,38",5666.17,55.66,38.65,,26.01,36.59,463.36,26.95,51.21,28.04,6.42,0.668717667,,,,,,,,,,,,,5.37,
04.05.2018,"1.967,52","1.937,79","2.550,23","11.699,60",5684.86,56.08,38.91,,24.71,36.78,457.35,25.14,56.7,29.43,6.71,0.665784694,,,,,,,,,,,,,5.34,
05.05.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2018,,,,,,,,,25.54,37.61,485.88,28.54,65.21,41.82,8.4,,,,,,,,,,,,,,,
07.05.2018,,,,,,55.94,39.54,,23.95,36.51,474.73,27.3,65.18,41.52,8.25,0.674583611,,,,,,,,,,,,,,
08.05.2018,,,,,,56.46,39.59,,,,,,,,,0.674583611,,,,,,,,,,,,,5.39,
09.05.2018,"1.995,87","1.927,33","2.582,56","11.694,29",5714.51,55.84,40.03,,22.47,35.09,423.82,28.64,69.77,42.61,8.62,0.677516583,,,,,,,,,,,,,5.43,
10.05.2018,"1.959,30","1.923,64","2.578,56","11.595,97",5776.38,55.79,40.31,,23.78,35.53,440.04,31.23,75.68,43.65,8.82,0.692181444,,,,,,,,,,,,,5.43,
11.05.2018,"1.913,28","1.950,70","2.561,99","11.702,97",5777.06,56.44,40.75,,25.42,36.8,446.25,33.3,70.97,44.51,8.93,0.689248472,,,,,,,,,,,,,5.45,
12.05.2018,,,,,,,,,23.5,37.23,443.43,37.44,77.05,44.74,8.97,,,,,,,,,,,,,,,
13.05.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2018,"1.944,25","1.989,94","2.545,17","12.098,93",5748.27,56.67,41.21,,25.77,37.64,483,27.98,59.31,36.72,7.91,0.698047389,,,,,,,,,,,,,5.39,
15.05.2018,"1.965,79","1.970,01","2.572,54","12.125,87",5718.69,57.09,41.44,,25.31,37.41,476.98,27.56,60.13,37.76,8.28,0.703913333,,,,,,,,,,,,,5.43,
16.05.2018,"1.960,54","1.966,26","2.594,73","12.195,08",5753.36,56.98,41.45,,25.28,37.2,477.06,28.02,60.72,37.96,8.33,0.700980361,,,,,,,,,,,,,5.45,
17.05.2018,"1.943,47","1.997,71","2.621,31","12.314,28",5811.76,57.01,42.17,,25.09,37.2,480.8,28,61.89,37.8,8.29,0.709779278,,,,,,,,,,,,,5.49,
18.05.2018,"1.928,06","1.965,86","2.630,06","12.475,90",5797.13,56.93,41.97,,25.03,37.38,483.58,28,63.27,39.04,8.35,0.709779278,,,,,,,,,,,,,5.47,
19.05.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2018,"1.933,10","2.032,94","2.627,50","12.385,01",5802.92,56.68,42.21,,,,,,,,,0.698047389,,,,,,,,,,,,,,
22.05.2018,"1.927,08","2.095,17","2.588,82","12.497,98",5900.29,56.46,43.21,,25.53,37.33,485.6,28.5,64.47,39.94,8.31,0.724444139,,,,,,,,,,,,,5.53,
23.05.2018,"1.939,51","2.109,54","2.584,16","12.467,53",5845.44,56.69,43.11,,25.67,37.55,484.46,28.15,65.1,40.33,8.38,0.730310083,,,,,,,,,,,,,5.49,
24.05.2018,"1.945,83","2.122,41","2.589,46","12.661,97",5850.07,56.61,42.82,,25.83,37.74,489.11,27.93,64.93,40.23,8.36,0.736176028,,,,,,,,,,,,,5.51,
25.05.2018,"1.941,41","2.082,74","2.615,71","12.631,58",5889.63,56.84,42.01,,25.81,38.05,492.47,28.07,65.37,41.93,8.43,0.739109,,,,,,,,,,,,,5.56,
26.05.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2018,,,,,,,42.35,,25.81,37.85,488.62,28.3,65.37,41.93,8.43,,,,,,,,,,,,,,,
29.05.2018,,,,,,57.39,42.33,,26.2,38.41,492.84,28.78,65.94,42.29,8.49,0.730310083,,,,,,,,,,,,,5.62,
30.05.2018,"1.945,58","2.075,64","2.677,95","12.913,22",5854.31,56.58,42.13,,26.09,38.3,490.16,28.45,65.94,42.29,8.49,0.727377111,,,,,,,,,,,,,5.58,
31.05.2018,"1.960,40","2.092,12","2.649,36","12.964,55",5854.47,56.41,41.67,,,,,,,,,0.739109,,,,,,,,,,,,,,
01.06.2018,"1.975,66","2.085,15","2.658,57","13.182,91",5899.33,55.31,40.19,,,,,,,,,0.744974944,,,,,,,,,,,,,5.53,
02.06.2018,,,,,,,,,26.64,36.85,468.49,27.59,51.68,27.52,6.25,,,,,,,,,,,,,,,
03.06.2018,,,,,,,,,25.96,36.45,464.17,26.8,50.84,27.83,6.38,,,,,,,,,,,,,,,
04.06.2018,"1.978,37","2.136,96","2.687,98","13.186,42",5961.83,55.20,41.75,,24.74,36.93,462.43,24.87,56.57,29.78,6.88,0.736176028,,,,,,,,,,,,,5.6,
05.06.2018,"1.973,12","2.140,82","2.747,17","13.388,09",6055.26,55.28,41.61,,,,,,,,,0.724444139,,,,,,,,,,,,,5.67,
06.06.2018,"1.991,25","2.138,79","2.727,89","13.221,03",6123.42,55.34,41.09,,25.6,37.56,491.23,28.8,64.63,41.45,8.33,0.721511167,,,,,,,,,,,,,5.75,
07.06.2018,"1.959,57","2.136,92","2.716,45","13.251,68",6213.08,55.24,41.36,,24,36.52,473.83,27.29,65.1,41.47,8.24,0.727377111,,,,,,,,,,,,,5.78,
08.06.2018,"1.956,18","2.086,15","2.744,52","13.065,31",6231.87,55.09,41.77,,23.82,35.68,459.33,26.43,68.38,42.29,8.35,0.721511167,,,,,,,,,,,,,5.82,
09.06.2018,,,,,,,,,22.64,35.22,424.32,28.41,69.57,42.48,8.6,,,,,,,,,,,,,,,
10.06.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.06.2018,"1.952,73","2.085,97","2.742,82","12.918,06",6157.34,55.31,41.14,,25.45,36.75,442.63,32.85,72.04,44.44,8.92,0.733243056,,,,,,,,,,,,,5.79,
12.06.2018,"1.960,07","2.094,60","2.750,44","12.887,31",6138.62,55.69,41.99,,23.06,37.15,440.79,35.47,76.64,44.51,8.93,0.733243056,,,,,,,,,,,,,5.77,
13.06.2018,"1.929,19","2.096,46","2.760,65","13.185,50",6148.82,55.41,42.31,,25.45,37.54,498.98,28.96,64.68,41.48,8.34,0.736176028,,,,,,,,,,,,,5.79,
14.06.2018,"1.949,11","2.107,00","2.782,41","13.141,39",6197.24,56.64,42.54,,25.93,38,508.88,29.07,65.24,41.84,8.4,0.753773861,,,,,,,,,,,,,5.75,
15.06.2018,"1.901,89","2.063,25","2.692,11","13.036,63",6056.87,56.43,41.91,,25.83,37.96,509.79,29.06,65.66,42.11,8.46,0.76550575,,,,,,,,,,,,,5.82,
16.06.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.06.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.2018,"1.909,66","2.080,23","2.673,26","12.812,65",5997.85,56.18,42.21,,25.57,37.61,493.53,28.93,65.71,42.15,8.47,0.744974944,,,,,,,,,,,,,5.68,
19.06.2018,"1.873,57","2.069,04","2.618,34","12.591,15",5896.01,56.10,42.12,,25.17,37.61,488.81,28.58,66.52,42.38,8.51,0.733243056,,,,,,,,,,,,,5.59,
20.06.2018,"1.871,44","2.061,09","2.623,98","12.867,63",5843.92,56.17,41.23,,25.13,37.4,488.59,28.22,66.2,42.18,8.47,0.750840889,,,,,,,,,,,,,5.59,
21.06.2018,"1.877,07","2.035,15","2.558,90","12.839,73",5848.09,55.93,40.94,,24.77,37.22,486.71,27.71,66.23,42.2,8.48,0.753773861,,,,,,,,,,,,,5.58,
22.06.2018,"1.864,15","2.062,14","2.551,10","13.010,93",5820.87,55.62,41.41,,24.75,37.15,486.39,27.73,65.52,42.01,8.44,0.742041972,,,,,,,,,,,,,5.52,
23.06.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2018,"1.841,64","2.062,34","2.489,85","13.036,79",5767.21,55.45,41.65,,24.96,37.02,485.08,27.59,65.47,41.98,8.44,0.733243056,,,,,,,,,,,,,5.49,
26.06.2018,"1.852,17","2.061,64","2.478,65","12.623,51",5765.12,55.72,41.71,,24.76,36.68,481.79,27.21,65.37,41.93,8.43,0.739109,,,,,,,,,,,,,5.41,
27.06.2018,"1.882,43","2.100,44","2.528,66","12.806,78",5790.48,56.10,42.71,,24.69,36.84,482.98,27.45,65.66,42.11,8.46,0.762572778,,,,,,,,,,,,,5.43,
28.06.2018,"1.863,30","2.068,44","2.541,18","12.717,57",5731.27,56.04,43.14,,24.32,36.83,478.94,27.15,65.8,42.2,8.48,0.744974944,,,,,,,,,,,,,5.43,
29.06.2018,"1.822,84","2.055,51","2.483,87","12.667,61",5661.67,55.38,43.39,,24.37,36.63,479.76,27.48,65.55,42.03,8.45,0.733243056,,,,,,,,,,,,,5.41,
30.06.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.2018,"1.802,95","2.045,50","2.473,25","12.551,02",5607.14,55.11,43.91,,26.5,36.51,463.72,27.16,50.74,27.52,6.25,0.721511167,,,,,,,,,,,,,5.37,
03.07.2018,"1.784,11","2.046,15","2.439,64","12.311,62",5564.41,54.97,44.28,,25.77,36.51,464.08,26.53,50.74,28.04,6.35,0.721511167,,,,,,,,,,,,,5.34,
04.07.2018,"1.791,67","1.988,08","2.360,95","12.053,69",5478.58,,44.14,,,,,,,,,,,,,,,,,,,,,,5.24,
05.07.2018,"1.779,22","2.011,46","2.342,07","12.064,07",5426.63,53.94,44.55,,25.47,37.44,478.08,27.53,57.78,33.95,7.91,0.71271225,,,,,,,,,,,,,5.15,
06.07.2018,"1.769,61","1.979,96","2.350,69","11.885,32",5341.59,53.59,44.35,,25.48,37.46,494.24,29.21,64.41,41.3,8.29,0.71271225,,,,,,,,,,,,,5.1,
07.07.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.07.2018,,,,,,,,,24.09,35.66,462.22,26.78,68.24,42.2,8.33,,,,,,,,,,,,,,,
09.07.2018,"1.805,03","1.984,60","2.311,39","12.014,81",5431.91,53.73,45.01,,22.46,35.13,422.44,28.43,70.03,42.59,8.62,0.706846306,,,,,,,,,,,,,5.09,
10.07.2018,"1.780,69","1.961,96","2.262,08","11.976,66",5385.53,53.84,45.62,,,,,,,,,0.698047389,,,,,,,,,,,,,5.05,
11.07.2018,"1.764,53","1.867,32","2.215,08","11.807,79",5250.76,54.12,45.71,,25.46,36.61,443.33,33.18,71.67,44.21,8.87,0.709779278,,,,,,,,,,,,,4.94,
12.07.2018,"1.749,86","1.879,04","2.219,03","12.081,92",5321.78,54.17,44.66,,23.13,37.13,440.05,35.71,76.78,44.58,8.94,0.703913333,,,,,,,,,,,,,4.96,
13.07.2018,"1.735,97","1.866,53","2.218,90","11.864,61",5313.69,54.05,44.08,,23.8,36.31,471.32,27.16,65.92,41.72,8.28,0.689248472,,,,,,,,,,,,,4.98,
14.07.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.07.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.07.2018,"1.754,39","1.840,82","2.136,00","11.586,20",5263.16,54.07,44.28,,23.48,36.09,467.13,26.63,65.58,41.5,8.24,0.692181444,,,,,,,,,,,,,4.89,
17.07.2018,"1.742,93","1.841,57","2.173,52","11.487,76",5245.96,54.12,43.68,,23.46,35.89,461.71,26.15,65.52,41.47,8.24,0.689248472,,,,,,,,,,,,,4.9,
18.07.2018,"1.740,59","1.845,78","2.259,24","11.608,78",5258.25,54.36,44.44,,23.23,35.82,461.62,26.33,67.26,41.75,8.29,0.6863155,,,,,,,,,,,,,4.91,
19.07.2018,"1.718,33","1.800,56","2.225,42","11.377,42",5186.35,54.60,45.39,,22.9,35.65,455.86,25.66,67.8,41.82,8.31,0.698047389,,,,,,,,,,,,,4.86,
20.07.2018,"1.729,68","1.803,42","2.231,79","11.454,75",5219.31,54.23,44.49,,23.45,35.92,458.26,25.59,67.28,41.5,8.24,0.689248472,,,,,,,,,,,,,4.92,
21.07.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.07.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.07.2018,"1.770,12","1.806,05","2.207,30","11.379,56",5216.02,54.52,45.28,,23.7,35.79,458.37,25.98,67.51,41.66,8.22,0.683382528,,,,,,,,,,,,,4.94,
24.07.2018,"1.783,99","1.828,70","2.270,10","11.552,91",5361.59,54.63,45.46,,23.94,35.68,458.85,26.58,67.79,41.84,8.25,0.6863155,,,,,,,,,,,,,4.95,
25.07.2018,"1.758,34","1.819,31","2.243,11","11.577,56",5339.81,54.46,45.43,,23.95,35.7,459.06,26.7,67.73,41.8,8.25,0.695114417,,,,,,,,,,,,,5.02,
26.07.2018,"1.775,54","1.843,62","2.257,44","11.748,49",5382.91,54.92,44.66,,23.76,35.86,460.43,26.82,67.33,41.82,8.25,0.700980361,,,,,,,,,,,,,5,
27.07.2018,"1.775,24","1.825,18","2.276,27","11.803,53",5378.24,54.68,44.41,,23.65,35.72,458.36,26.83,67.51,41.93,8.27,0.709779278,,,,,,,,,,,,,5.03,
28.07.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.07.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.07.2018,"1.789,06","1.827,08","2.236,11","11.761,72",5317.19,54.85,44.39,,23.55,35.67,457.96,26.73,67.45,41.89,8.26,0.700980361,,,,,,,,,,,,,4.95,
31.07.2018,"1.780,53","1.831,44","2.289,63","11.926,42",5372.62,55.06,44.04,,23.61,35.57,458.76,26.7,67.22,41.75,8.24,0.698047389,,,,,,,,,,,,,4.97,
01.08.2018,"1.760,09","1.811,98","2.242,14","11.573,10",5272.55,57.18,44.34,,26.85,37.37,494.81,30.73,48.71,28.28,5.98,0.695114417,,,,,,,,,,,,,4.94,
02.08.2018,"1.757,29","1.815,12","2.263,08","11.425,21",5274.04,57.71,44.11,,26.6,36.41,460.16,27.08,50.42,27.71,6.29,0.71271225,,,,,,,,,,,,,4.92,
03.08.2018,"1.750,92","1.817,18","2.309,52","11.617,53",5334.12,58.92,44.61,,25.69,36.45,460.83,26.7,50.84,28.1,6.38,0.721511167,,,,,,,,,,,,,5.01,
04.08.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2018,,,,,,,,,25.45,37.55,480.03,27.47,58.12,34.57,7.97,,,,,,,,,,,,,,,
06.08.2018,"1.768,52","1.820,90","2.268,22","11.767,66",5283.51,59.80,45.11,,25.37,37.37,489.14,28.87,64.55,41.4,8.32,0.727377111,,,,,,,,,,,,,4.91,
07.08.2018,"1.757,12","1.842,26","2.278,74","11.866,19",5296.16,59.79,45.18,,,,,,,,,0.733243056,,,,,,,,,,,,,4.98,
08.08.2018,"1.813,41","1.825,89","2.285,27","12.026,95",5290.39,59.25,44.95,,23.8,35.54,460.33,26.37,68,42.05,8.29,0.744974944,,,,,,,,,,,,,4.98,
09.08.2018,"1.802,33","1.813,61","2.282,84","11.972,77",5376.21,59.79,45.18,,,,,,,,,0.753773861,,,,,,,,,,,,,5.07,
10.08.2018,"1.842,85","1.823,37","2.232,44","12.025,83",5393.08,60.04,45.39,,23.51,35.17,431.91,31.03,76.04,43.87,8.86,0.753773861,,,,,,,,,,,,,5,
11.08.2018,,,,,,,,,25.33,36.51,436.22,32.93,71.88,44.35,8.89,,,,,,,,,,,,,,,
12.08.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2018,"1.825,44","1.850,42","2.165,18","11.796,94",5368.68,60.10,46.25,,23.84,36.07,463.97,26.63,69.81,43,8.48,0.753773861,,,,,,,,,,,,,4.98,
14.08.2018,"1.824,43","1.807,24","2.148,77","11.746,87",5296.14,59.90,46.65,,23.5,35.67,456.58,26.46,69.57,42.85,8.46,0.76550575,,,,,,,,,,,,,4.95,
15.08.2018,"1.784,69","1.675,41","2.012,51","11.240,03",5075.57,59.68,46.66,,22.77,35.72,452.67,25.45,70.18,43.23,8.52,0.759639806,,,,,,,,,,,,,4.8,
16.08.2018,"1.800,52","1.770,63","2.095,92","11.631,28",5187.92,59.42,46.86,,23.19,35.29,447.19,26.34,69.57,42.85,8.46,0.750840889,,,,,,,,,,,,,4.79,
17.08.2018,"1.773,16","1.714,20","2.088,05","11.695,86",5144.34,59.39,47.25,,22.89,35.26,448.71,26.69,70.01,42.85,8.46,0.756706833,,,,,,,,,,,,,4.78,
18.08.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2018,"1.788,59","1.695,46","2.072,76","11.728,97",5188.65,59.14,47.43,,23.15,35.36,448.72,27.04,69.92,42.79,8.45,0.750840889,,,,,,,,,,,,,4.85,
21.08.2018,"1.775,48","1.715,42","2.096,53","11.644,56",5200.71,58.46,48.02,,23.1,35.32,444.74,26.78,69.82,42.38,8.36,0.756706833,,,,,,,,,,,,,4.86,
22.08.2018,"1.780,71","1.717,76","2.130,17","11.591,86",5156.73,58.37,48.34,,22.9,35.12,444.5,26.76,69.55,42.22,8.33,0.747907917,,,,,,,,,,,,,4.82,
23.08.2018,"1.797,24","1.768,22","2.143,69","11.430,86",5168.25,58.50,49.06,,22.51,35.15,435.99,26.63,69.67,42.29,8.35,0.750840889,,,,,,,,,,,,,4.77,
24.08.2018,"1.802,77","1.780,40","2.186,56","11.477,50",5241.81,58.07,49.27,,22.72,35.06,437.62,27.16,69.55,42.22,8.33,0.736176028,,,,,,,,,,,,,4.86,
25.08.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2018,,,,,,57.72,50.47,,22.87,35.4,442.22,27.39,69.1,41.94,8.27,0.724444139,,,,,,,,,,,,,,
28.08.2018,,,,,,57.59,50.25,,22.87,35.24,441.06,27.37,68.97,42.12,8.52,0.715645222,,,,,,,,,,,,,4.89,
29.08.2018,"1.855,22","1.769,38","2.147,55","11.458,47",5187.27,57.47,50.31,,22.75,35.11,437.73,27.25,69.24,42.28,8.56,0.727377111,,,,,,,,,,,,,4.86,
30.08.2018,"1.827,30","1.761,52","2.120,85","11.313,48",5196.06,57.60,51.47,,22.53,35.04,433.32,28.27,69.15,42.23,8.55,0.721511167,,,,,,,,,,,,,4.84,
31.08.2018,"1.828,82","1.770,73","2.118,64","10.936,79",5136.19,57.80,50.95,,22.77,35.22,433.11,28.36,69.44,42.41,8.59,0.736176028,,,,,,,,,,,,,4.83,
01.09.2018,,,,,,,,,26.88,37.49,495.73,31.14,48.91,28.41,6.02,,,,,,,,,,,,,,,
02.09.2018,,,,,,,,,26.44,36.66,463.84,26.61,50.42,27.71,6.29,,,,,,,,,,,,,,,
03.09.2018,"1.805,50","1.811,53","2.126,22","10.932,46",5118.61,,50.05,,25.98,36.62,467.01,27.15,51.15,28.27,6.41,,,,,,,,,,,,,,4.8,
04.09.2018,"1.780,43","1.783,02","2.093,42","10.689,46",5004.53,57.54,51.14,,24.98,36.97,463.17,25.5,56.38,29.67,6.86,0.71271225,,,,,,,,,,,,,4.73,
05.09.2018,"1.777,62","1.746,68","2.087,08","10.622,34",5032.23,57.78,51.71,,25.66,37.66,480.07,27.65,58.27,34.93,7.99,0.706846306,,,,,,,,,,,,,4.73,
